"id","title","description","acceptance_criteria","story_points","priority","status","sprint","notes"
"PBI-001","Demo App インフラ基盤構築（DynamoDB・API Gateway・Lambda実行ロール）","インフラエンジニアとして、Demo Web App の基盤インフラ（DynamoDB テーブル、API Gateway、Lambda 実行ロール）を Terraform で構築したい。なぜなら、アプリケーション開発の前提となるインフラを整備する必要があるから。","・DynamoDB テーブル（Post）が作成されること
・API Gateway REST API が作成されること
・Lambda 実行ロールが最小権限で作成されること
・terraform plan が正常に完了すること","5","Critical","Done","sprint001","DA-F-01〜DA-F-05 の前提"
"PBI-002","投稿一覧取得 API の実装（GET /posts）","ユーザーとして、全投稿の一覧を取得したい。なぜなら、どんな投稿があるか確認したいから。","・GET /posts で全投稿が JSON 配列で返却されること
・投稿がない場合は空配列が返却されること
・レスポンスに id, title, body, createdAt, updatedAt が含まれること
・構造化ログが出力されること","3","Critical","Done","sprint001","DA-F-01"
"PBI-003","投稿作成 API の実装（POST /posts）","ユーザーとして、タイトルと本文を指定して新規投稿を作成したい。なぜなら、情報を投稿して共有したいから。","・POST /posts でタイトルと本文を送信し投稿が作成されること
・UUID が自動採番されること
・createdAt/updatedAt が自動設定されること
・バリデーションエラー時に 400 が返却されること
・構造化ログが出力されること","3","Critical","Done","sprint001","DA-F-02"
"PBI-004","投稿詳細取得 API の実装（GET /posts/:id）","ユーザーとして、特定の投稿の詳細を取得したい。なぜなら、投稿の全文を確認したいから。","・GET /posts/:id で指定した投稿が返却されること
・存在しない ID の場合 404 が返却されること
・構造化ログが出力されること","2","Critical","Done","sprint001","DA-F-03"
"PBI-005","投稿削除 API の実装（DELETE /posts/:id）","ユーザーとして、不要な投稿を削除したい。なぜなら、不要な情報を整理したいから。","・DELETE /posts/:id で指定した投稿が削除されること
・存在しない ID の場合 404 が返却されること
・削除後に再取得すると 404 になること
・構造化ログが出力されること","2","Critical","Done","sprint001","DA-F-04"
"PBI-006","Lambda 構造化ログ共通モジュールの実装","開発者として、全 Lambda 関数で統一された JSON 形式の構造化ログを出力したい。なぜなら、Observability Platform でログを正しく解析するために統一フォーマットが必要だから。","・共通ログモジュールが作成されること
・timestamp, level, service, endpoint, requestId, message が出力されること
・リクエスト完了時に statusCode, durationMs が追加出力されること
・エラー時に errorCode, errorType が追加出力されること
・ログレベル INFO/WARN/ERROR が正しく機能すること","3","Critical","Done","sprint001","DA-F-05; OP のログ取得の前提"
"PBI-007","Demo App フロントエンド - 投稿一覧・作成画面","ユーザーとして、ブラウザで投稿一覧を閲覧し新規投稿を作成したい。なぜなら、直感的な UI で投稿を管理したいから。","・投稿一覧がリスト表示されること
・新規作成フォーム（タイトル・本文）が表示されること
・作成後に一覧が更新されること
・Next.js Static Export でビルドできること
・Tailwind CSS でスタイリングされていること","5","High","Ready","","DA-F-01, DA-F-02 のフロントエンド"
"PBI-008","Demo App フロントエンド - 投稿詳細・削除画面","ユーザーとして、投稿の詳細を確認し不要な投稿を削除したい。なぜなら、投稿内容の確認と整理をブラウザ上で行いたいから。","・投稿詳細画面で全フィールド（title, body, createdAt, updatedAt）が表示されること
・削除ボタンで投稿が削除できること
・削除後に一覧画面にリダイレクトされること
・確認ダイアログが表示されること","3","High","Ready","","DA-F-03, DA-F-04 のフロントエンド"
"PBI-009","Demo App ホスティングインフラ構築（CloudFront + S3）","インフラエンジニアとして、Demo App のフロントエンドを CloudFront + S3 でホスティングしたい。なぜなら、低コストで高パフォーマンスな静的サイト配信を実現したいから。","・S3 バケットが作成されること
・CloudFront ディストリビューションが設定されること
・Next.js Static Export が配信できること
・terraform plan が正常に完了すること","5","High","Ready","","DA-F-01〜DA-F-04 のホスティング"
"PBI-010","OP インフラ基盤構築（API Gateway・Lambda 実行ロール）","インフラエンジニアとして、Observability Platform のバックエンド基盤を Terraform で構築したい。なぜなら、CloudWatch API へのアクセスに必要なインフラを整備する必要があるから。","・API Gateway REST API が作成されること
・Lambda 実行ロールに CloudWatch 読み取り権限が付与されること
・IAM ポリシーが最小権限であること
・terraform plan が正常に完了すること","5","Critical","Done","sprint001","OP-F-01〜OP-F-24 の前提"
"PBI-011","CloudWatch メトリクス取得 API の実装","開発者として、CloudWatch から API Gateway・Lambda のメトリクスを取得する API を実装したい。なぜなら、ダッシュボード表示に必要なデータソースを提供する必要があるから。","・GetMetricData API でリクエスト数・エラー数・レイテンシが取得できること
・時間範囲（1h/6h/24h/7d）に対応すること
・エンドポイント単位でメトリクスが取得できること
・p95 レイテンシが算出できること
・構造化ログが出力されること","8","Critical","Done","sprint001","OP-F-01〜OP-F-17 のデータソース"
"PBI-012","CloudWatch ログ取得 API の実装","開発者として、CloudWatch Logs からアプリケーションログを取得する API を実装したい。なぜなら、ログビューアに表示するデータを提供する必要があるから。","・CloudWatch Logs Insights でログが取得できること
・ログレベル（INFO/WARN/ERROR）でフィルタできること
・エンドポイントでフィルタできること
・最新100件が取得できること
・構造化ログが出力されること","5","Critical","Done","sprint001","OP-F-16, OP-F-18〜OP-F-21 のデータソース"
"PBI-013","時間範囲セレクタ共通コンポーネントの実装","ユーザーとして、全画面で統一された時間範囲セレクタ（1h/6h/24h/7d）を使いたい。なぜなら、一貫した UI で時間指定を行いたいから。","・1h/6h/24h/7d の選択肢が表示されること
・デフォルトが 1h であること
・選択変更時にコールバックが発火すること
・全画面で再利用可能なコンポーネントであること","3","High","Done","sprint001","OP-F-06, OP-F-12, OP-F-17, OP-F-21; PBI-014実装時にTimeRangeSelectorコンポーネントとして完成"
"PBI-014","Overview 画面 - サマリーカード表示","ユーザーとして、アプリ全体の総リクエスト数・エラー率・平均レスポンス時間・p95 レイテンシを一目で確認したい。なぜなら、アプリの健康状態を即座に把握したいから。","・総リクエスト数がカード表示されること
・エラー率（4XX+5XX）が%表示されること
・平均レスポンス時間が ms 表示されること
・p95 レイテンシが ms 表示されること
・時間範囲セレクタと連動すること","5","Critical","Done","sprint001","OP-F-01〜OP-F-04"
"PBI-015","Overview 画面 - メトリクス推移グラフ","ユーザーとして、選択した時間範囲のメトリクス推移を折れ線グラフで確認したい。なぜなら、時系列での変化傾向を把握したいから。","・リクエスト数の推移が折れ線グラフで表示されること
・エラー率の推移が表示されること
・レイテンシの推移が表示されること
・時間範囲に応じてデータ解像度が変わること","5","High","Ready","","OP-F-05"
"PBI-016","Endpoints 画面 - API 一覧テーブル表示","ユーザーとして、各 API エンドポイントのリクエスト数・成功率・レイテンシ・エラー数を一覧で確認したい。なぜなら、どの API に問題があるか一目で比較したいから。","・全エンドポイントが一覧テーブルで表示されること
・リクエスト数・成功率・平均レイテンシ・p95 レイテンシ・エラー数が表示されること
・時間範囲セレクタと連動すること
・Endpoint Detail 画面へのリンクがあること","5","Critical","Done","sprint001","OP-F-07〜OP-F-12"
"PBI-017","Endpoint Detail 画面 - レイテンシ・エラー推移グラフ","ユーザーとして、特定 API のレイテンシとエラー数の時系列推移を確認したい。なぜなら、API のパフォーマンス変化を詳細に分析したいから。","・平均・p95 レイテンシの推移グラフが表示されること
・エラー数の推移グラフが表示されること
・時間範囲セレクタと連動すること","5","Critical","Ready","","OP-F-13, OP-F-14; 顧客Must要件（Sprint 001条件付き受入）"
"PBI-018","Endpoint Detail 画面 - ステータスコード内訳・エラーログ","ユーザーとして、特定 API のステータスコード内訳と直近のエラーログを確認したい。なぜなら、エラーの原因を迅速に特定したいから。","・2XX/4XX/5XX の割合が円グラフまたはバーで表示されること
・直近 20 件のエラーログが一覧表示されること
・時間範囲セレクタと連動すること","5","Critical","Ready","","OP-F-15, OP-F-16, OP-F-17; 顧客Must要件（Sprint 001条件付き受入）"
"PBI-019","Logs 画面 - ログ一覧表示","ユーザーとして、アプリケーションログを一覧で確認したい。なぜなら、アプリの動作状況を詳細に把握したいから。","・timestamp/level/endpoint/requestId/message が表示されること
・最新 100 件が表示されること
・時間範囲セレクタと連動すること","5","Critical","Ready","","OP-F-18, OP-F-21; 顧客Must要件（Sprint 001条件付き受入）"
"PBI-020","Logs 画面 - フィルタ機能（ログレベル・エンドポイント）","ユーザーとして、ログレベルやエンドポイントでログを絞り込みたい。なぜなら、大量のログから必要な情報を効率的に見つけたいから。","・INFO/WARN/ERROR でフィルタできること
・特定のエンドポイントでフィルタできること
・フィルタの複合条件が可能であること
・フィルタ解除で全件表示に戻ること","3","Critical","Ready","","OP-F-19, OP-F-20; 顧客Must要件（Sprint 001条件付き受入）"
"PBI-021","共通 UI 機能（手動リロード・エラー表示・ローディング）","ユーザーとして、データの再取得・エラー通知・読込状態を把握したい。なぜなら、ダッシュボードの操作性と信頼性を確保したいから。","・手動リロードボタンでデータが再取得されること
・API エラー時にわかりやすいエラーメッセージが表示されること
・データ取得中にローディングインジケータが表示されること
・全画面で統一的に機能すること","5","High","Ready","","OP-F-22, OP-F-23, OP-F-24"
"PBI-022","OP ホスティングインフラ構築（CloudFront + S3）","インフラエンジニアとして、Observability Platform のフロントエンドを CloudFront + S3 でホスティングしたい。なぜなら、低コストで高パフォーマンスな静的サイト配信を実現したいから。","・S3 バケットが作成されること
・CloudFront ディストリビューションが設定されること
・Next.js Static Export が配信できること
・terraform plan が正常に完了すること","3","High","Ready","","OP 全画面のホスティング"
